time_s,voltage_V
-1.254000000000000191e-05,-1.960000000000000075e-01
-1.252000000000000210e-05,-1.952000000000000124e-01
-1.250000000000000060e-05,-1.936000000000000221e-01
-1.248000000000000079e-05,-1.984000000000000208e-01
-1.246000000000000098e-05,-1.975999999999999979e-01
-1.244000000000000117e-05,-1.984000000000000208e-01
-1.241999999999999967e-05,-1.927999999999999992e-01
-1.239999999999999986e-05,-1.960000000000000075e-01
-1.238000000000000005e-05,-2.008000000000000063e-01
-1.236000000000000025e-05,-1.992000000000000159e-01
-1.234000000000000044e-05,-1.936000000000000221e-01
-1.232000000000000063e-05,-1.952000000000000124e-01
-1.230000000000000082e-05,-1.968000000000000027e-01
-1.228000000000000101e-05,-2.008000000000000063e-01
-1.226000000000000120e-05,-1.960000000000000075e-01
-1.224000000000000139e-05,-1.944000000000000172e-01
-1.222000000000000159e-05,-1.960000000000000075e-01
-1.220000000000000178e-05,-1.968000000000000027e-01
-1.218000000000000197e-05,-1.975999999999999979e-01
-1.216000000000000216e-05,-1.975999999999999979e-01
-1.214000000000000066e-05,-1.952000000000000124e-01
-1.212000000000000085e-05,-1.952000000000000124e-01
-1.210000000000000104e-05,-1.975999999999999979e-01
-1.208000000000000123e-05,-1.975999999999999979e-01
-1.205999999999999973e-05,-1.952000000000000124e-01
-1.203999999999999992e-05,-1.960000000000000075e-01
-1.202000000000000011e-05,-1.984000000000000208e-01
-1.200000000000000030e-05,-1.968000000000000027e-01
-1.198000000000000050e-05,-1.960000000000000075e-01
-1.196000000000000069e-05,-1.968000000000000027e-01
-1.194000000000000088e-05,-1.975999999999999979e-01
-1.192000000000000107e-05,-1.968000000000000027e-01
-1.190000000000000126e-05,-1.984000000000000208e-01
-1.188000000000000145e-05,-1.960000000000000075e-01
-1.186000000000000164e-05,-1.960000000000000075e-01
-1.184000000000000184e-05,-1.975999999999999979e-01
-1.182000000000000203e-05,-1.968000000000000027e-01
-1.180000000000000052e-05,-1.975999999999999979e-01
-1.178000000000000072e-05,-1.984000000000000208e-01
-1.176000000000000091e-05,-1.975999999999999979e-01
-1.174000000000000110e-05,-1.960000000000000075e-01
-1.172000000000000129e-05,-1.968000000000000027e-01
-1.169999999999999979e-05,-1.984000000000000208e-01
-1.167999999999999998e-05,-1.968000000000000027e-01
-1.166000000000000017e-05,-1.975999999999999979e-01
-1.164000000000000036e-05,-1.984000000000000208e-01
-1.162000000000000055e-05,-1.992000000000000159e-01
-1.160000000000000075e-05,-1.960000000000000075e-01
-1.158000000000000094e-05,-1.968000000000000027e-01
-1.156000000000000113e-05,-1.984000000000000208e-01
-1.154000000000000132e-05,-1.968000000000000027e-01
-1.152000000000000151e-05,-1.952000000000000124e-01
-1.150000000000000170e-05,-1.960000000000000075e-01
-1.148000000000000189e-05,-2.008000000000000063e-01
-1.146000000000000209e-05,-1.992000000000000159e-01
-1.144000000000000058e-05,-1.952000000000000124e-01
-1.142000000000000077e-05,-1.960000000000000075e-01
-1.140000000000000097e-05,-1.960000000000000075e-01
-1.138000000000000116e-05,-1.952000000000000124e-01
-1.136000000000000135e-05,-1.975999999999999979e-01
-1.134000000000000154e-05,-1.968000000000000027e-01
-1.132000000000000004e-05,-1.975999999999999979e-01
-1.130000000000000023e-05,-1.984000000000000208e-01
-1.128000000000000042e-05,-1.975999999999999979e-01
-1.126000000000000061e-05,-1.960000000000000075e-01
-1.124000000000000080e-05,-1.952000000000000124e-01
-1.122000000000000100e-05,-1.992000000000000159e-01
-1.120000000000000119e-05,-1.975999999999999979e-01
-1.118000000000000138e-05,-1.960000000000000075e-01
-1.116000000000000157e-05,-1.975999999999999979e-01
-1.114000000000000007e-05,-1.952000000000000124e-01
-1.112000000000000026e-05,-1.960000000000000075e-01
-1.110000000000000045e-05,-1.968000000000000027e-01
-1.108000000000000064e-05,-1.975999999999999979e-01
-1.106000000000000083e-05,-1.960000000000000075e-01
-1.104000000000000103e-05,-1.968000000000000027e-01
-1.102000000000000122e-05,-1.984000000000000208e-01
-1.100000000000000141e-05,-1.992000000000000159e-01
-1.098000000000000160e-05,-1.975999999999999979e-01
-1.096000000000000010e-05,-1.975999999999999979e-01
-1.094000000000000029e-05,-1.960000000000000075e-01
-1.092000000000000048e-05,-1.975999999999999979e-01
-1.090000000000000067e-05,-1.960000000000000075e-01
-1.088000000000000086e-05,-1.968000000000000027e-01
-1.086000000000000105e-05,-1.960000000000000075e-01
-1.084000000000000125e-05,-1.975999999999999979e-01
-1.082000000000000144e-05,-1.952000000000000124e-01
-1.080000000000000163e-05,-1.968000000000000027e-01
-1.078000000000000013e-05,-1.975999999999999979e-01
-1.076000000000000032e-05,-1.960000000000000075e-01
-1.074000000000000051e-05,-1.975999999999999979e-01
-1.072000000000000070e-05,-1.960000000000000075e-01
-1.070000000000000089e-05,-1.952000000000000124e-01
-1.068000000000000108e-05,-1.984000000000000208e-01
-1.066000000000000128e-05,-1.992000000000000159e-01
-1.064000000000000147e-05,-1.960000000000000075e-01
-1.062000000000000166e-05,-1.960000000000000075e-01
-1.060000000000000016e-05,-1.984000000000000208e-01
-1.058000000000000035e-05,-1.975999999999999979e-01
-1.056000000000000054e-05,-1.960000000000000075e-01
-1.054000000000000073e-05,-1.960000000000000075e-01
-1.052000000000000092e-05,-1.975999999999999979e-01
