time_s,voltage_V
1.502000000000000019e-05,9.000000000000000222e-01
1.503000000000000179e-05,8.800000000000000044e-01
1.504000000000000000e-05,9.000000000000000222e-01
1.505000000000000160e-05,9.200000000000000400e-01
1.505999999999999981e-05,9.400000000000000577e-01
1.507000000000000140e-05,9.599999999999999645e-01
1.507999999999999961e-05,9.599999999999999645e-01
1.509000000000000121e-05,9.400000000000000577e-01
1.509999999999999942e-05,1.000000000000000000e+00
1.511000000000000102e-05,9.799999999999999822e-01
1.511999999999999923e-05,9.799999999999999822e-01
1.513000000000000083e-05,1.060000000000000053e+00
1.513999999999999904e-05,1.020000000000000018e+00
1.515000000000000064e-05,1.040000000000000036e+00
1.516000000000000224e-05,1.080000000000000071e+00
1.517000000000000045e-05,1.040000000000000036e+00
1.518000000000000204e-05,1.060000000000000053e+00
1.519000000000000025e-05,1.080000000000000071e+00
1.520000000000000185e-05,1.080000000000000071e+00
1.521000000000000006e-05,1.060000000000000053e+00
1.522000000000000166e-05,1.060000000000000053e+00
1.522999999999999987e-05,1.060000000000000053e+00
1.524000000000000147e-05,1.080000000000000071e+00
1.524999999999999968e-05,1.080000000000000071e+00
1.525999999999999958e-05,1.040000000000000036e+00
1.527000000000000118e-05,1.020000000000000018e+00
1.528000000000000278e-05,1.060000000000000053e+00
1.528999999999999760e-05,1.040000000000000036e+00
1.529999999999999920e-05,1.040000000000000036e+00
1.531000000000000080e-05,1.020000000000000018e+00
1.532000000000000240e-05,1.040000000000000036e+00
1.533000000000000400e-05,1.020000000000000018e+00
1.533999999999999882e-05,9.799999999999999822e-01
1.535000000000000042e-05,9.799999999999999822e-01
1.536000000000000202e-05,1.000000000000000000e+00
1.537000000000000361e-05,9.799999999999999822e-01
1.537999999999999844e-05,9.400000000000000577e-01
1.539000000000000003e-05,9.599999999999999645e-01
1.540000000000000163e-05,9.200000000000000400e-01
1.541000000000000323e-05,9.200000000000000400e-01
1.541999999999999805e-05,9.000000000000000222e-01
1.542999999999999965e-05,9.200000000000000400e-01
